loadable,snapshot_date,source_commit,profiles,source,status,baseline_coverage,limited,evidence,coverage_scope,sanitizer_evidence,fuzz_evidence,companion_loadables,busybox_applet,busybox_availability,external_program,external_availability,comparison_scope,metric_kind,work_unit,benchmark_cases,selected_case,fixture,builtin_command,external_command,passes,timed_samples,bashos_result,bashos_ms,busybox_ms,external_ms,bashos_over_external,priority,next_work,notes
mkswap,2026-09-12,63cb23df1c3012dde4b07657cc27e4f1e5015b2f,device;server;full,loadables/mkswap.c,Bench checked,Build/help,False,,,,,,mkswap,available,mkswap,available,Same-name candidate; only measured arguments are compared.,compared,"one 4096-byte swap v1 header composed and pwritten at offset 0 of an 8 MiB file, then fsync; the 8,388,608-byte destination image is the compared artifact",mkswap,mkswap,empty,mkswap -U deadbeef-0000-4000-8000-000000000001 -L fixture swapdest.img,mkswap -U deadbeef-0000-4000-8000-000000000001 -L fixture swapdest.img,136,7,ok,8.386,,226.295,0.0371,P4,Extend sizes/options; no selected-case performance priority.,
mktemp,2026-09-12,63cb23df1c3012dde4b07657cc27e4f1e5015b2f,pure;core;device;server;desktop;full,Bash examples/loadables/mktemp.c,Bench checked,Build/help,False,,,,,,mktemp,available,mktemp,available,Same-name candidate; only measured arguments are compared.,compared,"1 template expansion + mkstemp(3) (open O_CREAT|O_EXCL + close, file kept) + 1 line printed, per pass; identical work on all three arms",mktemp,mktemp,empty,mktemp -q 'mktmp-fixture mktmp.XXXXXX',mktemp -q 'mktmp-fixture mktmp.XXXXXX',115,7,ok,10.779,127.203,104.423,0.1032,P3,Apply -u before sh_mktmpfd so the template is only expanded.,"`-u` does the filesystem work it is supposed to skip: sh_mktmpfd() runs unconditionally and -u is applied afterwards, so the builtin creates (O_CREAT|O_EXCL) and then unlinks, while GNU and BusyBox only expand the template. The builtin therefore fails where both references succeed whenever the template's directory is not writable."
mlock,2026-09-12,63cb23df1c3012dde4b07657cc27e4f1e5015b2f,device;server;full,loadables/mlock.c,Smoke,Smoke,False,tests/system-smoke.sh,Selected read/query paths; no full subsystem integration claim.,,,,,n/a,,n/a,Memory-locking API; control limits and faulting policy.,self-timed,"1 MiB (256 pages) mmapped anonymous, mlock'd (faulted in and pinned), munlock'd and munmapped per pass",mlock-trylock,mlock-trylock,empty,mlock try-lock 1048576,mlock try-lock 1048576,95,7,ok,25.498,,,,P4,"Self-timed baseline: no external program or applet implements this, so compare a change against this figure rather than a ratio.",
more,2026-09-12,63cb23df1c3012dde4b07657cc27e4f1e5015b2f,desktop;full,loadables/more.c,Contract,Contract,False,tests/helper-smoke.py,"Helper APIs, independent formats, temporary files and controlled terminal fixtures.",tests/helper-sanitize.sh,,,more,available,more,available,Same-name candidate; only measured arguments are compared.,compared,"846,000 bytes paged from two 423 KB files plus two per-file `::::::::::::::` headers, 846,070 bytes emitted",more,more,empty,more -n 100 text copy,more -n 100 text copy,12,7,ok,44.587,,13.423,3.3217,P3,"Confirm more (3.32× external time), then profile.",
mouse,2026-09-12,63cb23df1c3012dde4b07657cc27e4f1e5015b2f,desktop;full,loadables/mouse.c,Contract,Contract,False,tests/terminal-smoke.py,"Decoder, state, selftest, private PTY or file fixtures; not all live UI interactions.",tests/terminal-sanitize.sh,,,,n/a,,n/a,Terminal mouse decoder API.,self-timed,"one 20-byte SGR-1006 mouse record (ESC [ < 35 ; 999999 ; 999999 M) hex-parsed by bm_parse_hex() and decoded by bm_decode_sgr(), the first arm of the 1006/1015/x10 cascade and the only one this input reaches, printing one 77-byte event record",mouse,mouse,empty,mouse decode 1b5b3c33353b3939393939393b3939393939394d,mouse decode 1b5b3c33353b3939393939393b3939393939394d,141,7,ok,4.716,,,,P4,"Self-timed baseline: no external program or applet implements this, so compare a change against this figure rather than a ratio.",
mv,2026-09-12,63cb23df1c3012dde4b07657cc27e4f1e5015b2f,core;device;server;desktop;full,loadables/mv.c,Bench checked,Build/help,False,,,,,,mv,available,mv,available,Same-name candidate; only measured arguments are compared.,compared,"16 rename(2) per pass (16 sources moved into the moved/ directory), plus mv's per-operand stat and basename work",mv,mv,empty,mv mvsrc00 mvsrc01 mvsrc02 mvsrc03 mvsrc04 mvsrc05 mvsrc06 mvsrc07 mvsrc08 mvsrc09 mvsrc10 mvsrc11 mvsrc12 mvsrc13 mvsrc14 mvsrc15 moved,mv mvsrc00 mvsrc01 mvsrc02 mvsrc03 mvsrc04 mvsrc05 mvsrc06 mvsrc07 mvsrc08 mvsrc09 mvsrc10 mvsrc11 mvsrc12 mvsrc13 mvsrc14 mvsrc15 moved,93,7,ok,23.831,93.961,107.932,0.2208,P4,Extend sizes/options; no selected-case performance priority.,Moving a file to itself now fails and preserves bytes; tests/mv-check.sh matches GNU.
nano,2026-09-12,63cb23df1c3012dde4b07657cc27e4f1e5015b2f,desktop;full,loadables/nano.c,Contract,Contract,True,tests/final-smoke.py,"Independent crypto/format fixtures, parser cases, local services or selftests; scope varies by command.",tests/final-sanitize.sh,,ts,,n/a,nano,available,Same-name candidate; only measured arguments are compared.,self-timed,"17 engine assertions on 16-, 24-, 200- and 8-byte buffers: UTF-8 grapheme cluster walks with the per-line cluster cache, screen-column arithmetic, cluster insert and backspace, forward and backward search with wraparound, hscroll and soft-wrap viewport math, then one bn_render after bn_detect_language('cache-test.sh'), which reaches bashts_compute_sgr_map and recompiles the tree-sitter bash highlight query with ts_query_new on every call",nano,nano,empty,nano selftest,nano selftest,12,7,ok,58.07,,,,P3,Decide required option scope; see limitations.,"Editor selftests pass; justify, spell and completion still report unimplemented."
nano2,2026-09-12,63cb23df1c3012dde4b07657cc27e4f1e5015b2f,desktop;full,loadables/nano2.c,Contract,Contract,False,tests/terminal-smoke.py,"Decoder, state, selftest, private PTY or file fixtures; not all live UI interactions.",tests/terminal-sanitize.sh,,,,n/a,nano,available,Editor operation or scripted-key fixture; no shared CLI workload.,self-timed,"23 piece-table assertions: 1,000 single-byte cursor inserts, one 64 KiB insert plus a 64 KiB flatten_range round trip, 100-step undo and 100-step redo, binary-NUL insert and flatten, and three pt_save chains (write + fsync(fd) + rename + fsync(dir))",nano2,nano2,empty,nano2 selftest,nano2 selftest,22,7,ok,32.194,,,,P4,"Self-timed baseline: no external program or applet implements this, so compare a change against this figure rather than a ratio.",
nc,2026-09-12,63cb23df1c3012dde4b07657cc27e4f1e5015b2f,device;server;full,loadables/nc.c,Contract,Contract,False,tests/network-smoke.py,"Private files, packet/parser fixtures and loopback connections.",,,,nc,available,nc,available,Same-name candidate; only measured arguments are compared.,compared,"423000 B pulled through one loopback TCP connection and copied to stdout by the epoll multiplexer; the timed pass also includes the reset that starts the one-shot bash-os nc listen peer, so every column (builtin, GNU, BusyBox) carries the same bash-os server half and the halves overlap on loopback",nc-loopback-stream,nc-loopback-stream,empty,nc connect 127.0.0.1 19080 -w 3,nc 127.0.0.1 19080,24,7,ok,76.105,93.394,90.063,0.845,P4,Extend sizes/options; no selected-case performance priority.,
ncdu,2026-09-12,63cb23df1c3012dde4b07657cc27e4f1e5015b2f,desktop;full,loadables/ncdu.c,Contract,Contract,False,tests/helper-smoke.py,"Helper APIs, independent formats, temporary files and controlled terminal fixtures.",tests/helper-sanitize.sh,,,,n/a,ncdu,available,Same-name candidate; only measured arguments are compared.,compared,,ncdu-print,ncdu-print,empty,ncdu -a -p tree,du --apparent-size --block-size=1 tree,92,7,ok,24.306,,84.469,0.2878,P4,Extend sizes/options; no selected-case performance priority.,
netids,2026-09-12,63cb23df1c3012dde4b07657cc27e4f1e5015b2f,server;full,loadables/netids.c,Contract,Contract,False,tests/helper-smoke.py,"Helper APIs, independent formats, temporary files and controlled terminal fixtures.",tests/helper-sanitize.sh,,pcap,,n/a,suricata,missing,Rule subset and fixed capture; normalize alert content.,self-timed,512 Suricata-subset rules (61471 B) parsed and compiled,netids-compile;netids-scan,netids-compile,empty,netids compile -S netids.rules,netids compile -S netids.rules,67,7,ok,34.975,,,,P4,"Self-timed baseline: no external program or applet implements this, so compare a change against this figure rather than a ratio.",
netstat,2026-09-12,63cb23df1c3012dde4b07657cc27e4f1e5015b2f,device;server;full,loadables/netstat.c,Build/help,Build/help,False,,,,,ss,netstat,available,netstat,missing,Same-name candidate; only measured arguments are compared.,none,,,,,,,,,unmeasured,,,,,P3,"Add behavioral fixtures, then timing.",
nice,2026-09-12,63cb23df1c3012dde4b07657cc27e4f1e5015b2f,core;device;server;desktop;full,loadables/nice.c,Contract,Contract,False,tests/regressions.py;tests/rootfs-smoke.sh,"Repeated calls, literal arguments, process isolation and file-state regressions.; Static binary in an isolated root filesystem; fixture paths only.",,,,,n/a,nice,available,Same-name candidate; only measured arguments are compared.,compared,,nice,nice,empty,nice -n 0 /bin/true,nice -n 0 /bin/true,52,7,ok,27.693,,43.905,0.6307,P4,Extend sizes/options; no selected-case performance priority.,
nl,2026-09-12,63cb23df1c3012dde4b07657cc27e4f1e5015b2f,core;device;server;desktop;full,loadables/nl.c,Parity,Parity,True,tests/nl-parity.py;tests/input-lifetime.py,"GNU/BusyBox comparisons for numbering, sections, delimiters, regex, multiple files, binary input, descriptor ownership and shell/terminal state.; Mixed-reader integration across native and RISC-V musl: fresh redirects, file operands, empty input and descriptor ownership; shared GNU byte cases only.",tests/nl-sanitize.sh,,,nl,available,nl,available,Same-name candidate; only measured arguments are compared.,compared,,nl,nl,text,nl -ba,nl -ba,48,7,ok,44.415,208.982,116.079,0.3826,P3,Decide required option scope; see limitations.,"Repeated stdin, stale stream read-ahead and named-file descriptor ownership are fixed. BRE matching uses the host regex library; without REG_STARTEND, patterns cannot match past embedded NUL bytes."
nohup,2026-09-12,63cb23df1c3012dde4b07657cc27e4f1e5015b2f,core;device;server;desktop;full,loadables/nohup.c,Contract,Contract,False,tests/regressions.py;tests/rootfs-smoke.sh,"Repeated calls, literal arguments, process isolation and file-state regressions.; Static binary in an isolated root filesystem; fixture paths only.",,,,,n/a,nohup,available,Same-name candidate; only measured arguments are compared.,compared,,nohup,nohup,empty,nohup /bin/true,nohup /bin/true,66,7,ok,35.808,,57.743,0.6201,P4,Extend sizes/options; no selected-case performance priority.,
notify,2026-09-12,63cb23df1c3012dde4b07657cc27e4f1e5015b2f,desktop;full,loadables/notify.c,Contract,Contract,False,tests/misc-smoke.py,Independent expected values or private file/socket fixtures.,,,,,n/a,systemd-notify,available,Private notification socket; adapt API.,self-timed,"one AF_UNIX SOCK_DGRAM lifecycle: socket(), two fcntl for FD_CLOEXEC, address encoding, sendto() of a 38-byte sd_notify payload and close(), one datagram delivered per pass",notify,notify,empty,"notify send notify.sock 'READY=1
STATUS=bench fixture
MAINPID=1'","notify send notify.sock 'READY=1
STATUS=bench fixture
MAINPID=1'",112,7,ok,5.69,,,,P4,"Self-timed baseline: no external program or applet implements this, so compare a change against this figure rather than a ratio.",
ns,2026-09-12,63cb23df1c3012dde4b07657cc27e4f1e5015b2f,server;full,loadables/ns.c,Smoke,Smoke,False,tests/system-smoke.sh,Selected read/query paths; no full subsystem integration claim.,,,,unshare,available,unshare / nsenter,adapter,Namespace API; compare equivalent child setup.,compared,"one user namespace created and one program exec'd per pass: builtin clone(CLONE_NEWUSER) + child execvp(/bin/true) + waitpid; reference fork + exec of unshare(1), which unshares and execs /bin/true",ns-list;ns-spawn-user,ns-spawn-user,empty,ns spawn user /bin/true,unshare --user /bin/true,66,7,ok,36.275,69.345,54.335,0.6676,P4,Extend sizes/options; no selected-case performance priority.,
ntp,2026-09-12,63cb23df1c3012dde4b07657cc27e4f1e5015b2f,server;full,loadables/ntp.c,Contract,Contract,False,tests/final-smoke.py,"Independent crypto/format fixtures, parser cases, local services or selftests; scope varies by command.",tests/final-sanitize.sh,,crypto,ntpd,missing,chronyc / ntpd,adapter,Controlled time server; never benchmark clock-changing operations on the host.,self-timed,"one NTS-protected request built (unique-id + cookie extension fields), one response sealed with AES-SIV-CMAC, two verifies (1 accept, 1 tamper-reject)",ntp-nts-selftest,ntp-nts-selftest,empty,ntp nts-selftest,ntp nts-selftest,111,7,ok,4.275,,,,P4,"Self-timed baseline: no external program or applet implements this, so compare a change against this figure rather than a ratio.",
obj,2026-09-12,63cb23df1c3012dde4b07657cc27e4f1e5015b2f,server;full,loadables/obj.c,Contract,Contract,False,tests/final-smoke.py,"Independent crypto/format fixtures, parser cases, local services or selftests; scope varies by command.",tests/final-sanitize.sh,,,,n/a,git hash-object / cat-file,adapter,Git object API; match format and compression.,compared,"3000 full-40-hex loose objects looked up (existence check + open + read), zlib-inflated and header-parsed: 774997 bytes compressed on disk -> 3023974 bytes of object payload; 3000 '<sha> <type> <size>' records / 152013 bytes emitted from a 123000-byte stdin SHA list",obj-batch-check;obj-hash,obj-batch-check,gitshalist,obj --batch-check -r gitloose,git -C gitloose cat-file --batch-check,3,7,ok,93.039,,113.102,0.8226,P4,Extend sizes/options; no selected-case performance priority.,"The getline(stdin) loops now clearerr(stdin) at the builtin entry: without it a second in-process `--batch-check`, `--batch`, `hash --stdin-paths` or `tree` emitted nothing while still exiting 0, because a builtin does not fork and the stream keeps its EOF flag."
od,2026-09-12,63cb23df1c3012dde4b07657cc27e4f1e5015b2f,core;device;server;desktop;full,loadables/od.c,Bench checked,Build/help,False,,,,,,od,available,od,available,Same-name candidate; only measured arguments are compared.,compared,,od,od,bytes,od -An -tx1,od -An -tx1,13,7,ok,76.907,63.034,139.173,0.5526,P4,Extend sizes/options; no selected-case performance priority.,Repeated redirected stdin is fixed; tests/od-check.sh matches GNU on three fresh redirections.
opt,2026-09-12,63cb23df1c3012dde4b07657cc27e4f1e5015b2f,desktop;full,loadables/opt.c,Contract,Contract,False,tests/misc-smoke.py,Independent expected values or private file/socket fixtures.,,,,getopt,available,getopt,available,Same-name candidate; only measured arguments are compared.,compared,,opt,opt,empty,opt -o ab: -- -a -b x,getopt -o ab: -- -a -b x,125,7,ok,4.021,91.234,73.572,0.0547,P4,Extend sizes/options; no selected-case performance priority.,
pack,2026-09-12,63cb23df1c3012dde4b07657cc27e4f1e5015b2f,server;full,loadables/pack.c,Contract,Contract,False,tests/final-smoke.py,"Independent crypto/format fixtures, parser cases, local services or selftests; scope varies by command.",tests/final-sanitize.sh,,,,n/a,git pack-objects / index-pack,adapter,Git pack API; use fixed object sets.,compared,".idx v2 fanout + binary search over 201 entries, then zlib inflate of a 613174-byte pack entry to exactly 4194304 bytes on stdout",pack-cat,pack-cat,empty,pack cat packrepo/.git/objects/pack/pack-fixture.pack packrepo/.git/objects/pack/pack-fixture.idx 882badb336048d3cb6451ea86563e470d8f98f4d,git -C packrepo cat-file blob 882badb336048d3cb6451ea86563e470d8f98f4d,7,7,ok,85.684,,85.17,1.006,P4,Extend sizes/options; no selected-case performance priority.,
passwd,2026-09-12,63cb23df1c3012dde4b07657cc27e4f1e5015b2f,server;full,loadables/passwd.c,Contract,Contract,False,tests/final-smoke.py,"Independent crypto/format fixtures, parser cases, local services or selftests; scope varies by command.",tests/final-sanitize.sh,,,passwd,available,passwd,available,Same-name candidate; only measured arguments are compared.,compared,"318,948 bytes / 5,001 passwd records parsed and re-emitted as 230,046 bytes of name:uid:gid:home:shell. Every fixture record has all seven fields non-empty, which this case depends on: the builtin misparses a record with an empty field",passwd-list;passwd-verify-fd,passwd-list,empty,passwd list -l,"awk -F: '{print $1"":""$3"":""$4"":""$6"":""$7}' account.passwd",26,7,ok,71.498,346.203,112.85,0.6336,P3,Split passwd records on a fixed field count rather than strtok_r.,"`list -l` misparses any record with an empty field: bpw_list_cmd splits with strtok_r(copy, "":"", &save), and strtok_r collapses consecutive delimiters, so fields shift left from the first empty one. bpw_lookup_user uses the same pattern, so the lookup path shares the defect. The benchmark fixture keeps all seven fields populated and must stay that way for its reference to hold."
paste,2026-09-12,63cb23df1c3012dde4b07657cc27e4f1e5015b2f,core;device;server;desktop;full,loadables/paste.c,Parity,Parity,False,tests/paste-uniq-parity.py,Dedicated comparison suite; only the tested options and fixtures are covered.,tests/paste-uniq-sanitize.sh,,,paste,available,paste,available,Same-name candidate; only measured arguments are compared.,compared,,paste,paste,empty,paste duplicates duplicates,paste duplicates duplicates,9,7,ok,68.804,367.963,68.106,1.0102,P4,Extend sizes/options; no selected-case performance priority.,
pathchk,2026-09-12,63cb23df1c3012dde4b07657cc27e4f1e5015b2f,pure;core;device;server;desktop;full,Bash examples/loadables/pathchk.c,Bench checked,Build/help,False,,,,,,,n/a,pathchk,available,Same-name candidate; only measured arguments are compared.,compared,,pathchk,pathchk,empty,pathchk text,pathchk text,158,7,ok,3.741,,91.079,0.0411,P4,Extend sizes/options; no selected-case performance priority.,
pax,2026-09-12,63cb23df1c3012dde4b07657cc27e4f1e5015b2f,core;device;server;desktop;full,loadables/pax.c,Contract,Contract,False,tests/host-smoke.sh;tests/rootfs-smoke.sh,"Basic file, pipe or archive behavior with an empty PATH.; Static binary in an isolated root filesystem; fixture paths only.",,,,,n/a,pax,missing,Same-name candidate; only measured arguments are compared.,compared,,pax,pax,empty,pax -f tiny.tar,tar tf tiny.tar,80,7,ok,4.052,60.076,87.453,0.0463,P4,Extend sizes/options; no selected-case performance priority.,
payload,2026-09-12,63cb23df1c3012dde4b07657cc27e4f1e5015b2f,full,loadables/payload.c,Smoke,Smoke,True,tests/misc-smoke.py,Version/help or empty spool query only.,,,,,n/a,,n/a,Project payload manager; install/remove need an external helper.,self-timed,"1696256-byte share INDEX streamed and 20000 blpkg-v1 records parsed with fgets+strtok_r, plus 20000 install-state stat() probes (2500 hits); 20005 lines / 1220126 bytes of table out",payload-list,payload-list,empty,payload list,payload list,3,7,ok,139.99,,,,P3,Add an installer-boundary fixture and document the external helper.,Install/remove invoke a helper outside this repository; the current fixture only calls help.
pcap,2026-09-12,63cb23df1c3012dde4b07657cc27e4f1e5015b2f,device;server;full,loadables/pcap.c,Contract,Contract,False,tests/network-smoke.py,"Private files, packet/parser fixtures and loopback connections.",,,,,n/a,tcpdump,missing,Packet capture API; use fixed captures or an isolated link.,self-timed,"full record walk of a 4000024 B capture: global header decode plus 50000 x (16-byte record-header read, snaplen guard, lseek over the 64-byte payload), about 100k syscalls",pcap-info,pcap-info,empty,pcap info capture.pcap,pcap info capture.pcap,4,7,ok,82.602,,,,P4,"Self-timed baseline: no external program or applet implements this, so compare a change against this figure rather than a ratio.",
pcre,2026-09-12,63cb23df1c3012dde4b07657cc27e4f1e5015b2f,server;full,loadables/pcre.c,Contract,Contract,False,tests/helper-smoke.py,"Helper APIs, independent formats, temporary files and controlled terminal fixtures.",tests/helper-sanitize.sh,,,,n/a,pcre2grep / grep -P,adapter,Match/search/substitution API; adapt arguments.,compared,,pcre,pcre,empty,pcre grep alpha text,grep -P alpha text,14,7,ok,66.335,,15.711,4.2222,P3,"Confirm pcre (4.22× external time), then profile.",
pgrep,2026-09-12,63cb23df1c3012dde4b07657cc27e4f1e5015b2f,core;device;server;desktop;full,loadables/pgrep.c,Bench checked,Build/help,True,,,,,,,n/a,pgrep,available,Same-name candidate; only measured arguments are compared.,compared,"one full live /proc walk: readdir plus a /proc/PID/comm read for every PID on the host; exactly one PID matches, 2 bytes emitted",pgrep-kthreadd,pgrep-kthreadd,empty,pgrep -x kthreadd,pgrep -x kthreadd,34,7,ok,55.789,,536.619,0.104,P3,Decide required option scope; see limitations.,Matching is substring-based unless exact matching is selected; not full procps regular-expression behavior.
pidof,2026-09-12,63cb23df1c3012dde4b07657cc27e4f1e5015b2f,core;device;server;desktop;full,loadables/pidof.c,Bench checked,Build/help,False,,,,,,pidof,available,pidof,available,Same-name candidate; only measured arguments are compared.,compared,"one full live /proc walk: a comm read for every PID plus a cmdline read for every PID whose comm misses; exactly one PID matches, 2 bytes emitted",pidof-kthreadd,pidof-kthreadd,empty,pidof kthreadd,pidof kthreadd,26,7,ok,70.167,145.782,188.382,0.3725,P4,Extend sizes/options; no selected-case performance priority.,
ping,2026-09-12,63cb23df1c3012dde4b07657cc27e4f1e5015b2f,device;server;full,loadables/ping.c,Build/help,Build/help,False,,,,,,ping,available,ping,available,Same-name candidate; only measured arguments are compared.,none,,,,,,,,,unmeasured,,,,,P3,"Add behavioral fixtures, then timing.",
pkg,2026-09-12,63cb23df1c3012dde4b07657cc27e4f1e5015b2f,server;full,loadables/pkg.c,Contract,Contract,False,tests/final-smoke.py,"Independent crypto/format fixtures, parser cases, local services or selftests; scope varies by command.",tests/final-sanitize.sh,,,,n/a,,n/a,Project package format and repository policy.,self-timed,"4973790-byte repo INDEX slurped and split into 20000 pkg-loadable-v1 records, each strtok_r-tokenized for the record check and substring-matched; 2500 hits / 656726 bytes out",pkg-search,pkg-search,empty,pkg search alpha --root pkgroot,pkg search alpha --root pkgroot,10,7,ok,71.074,,,,P4,"Self-timed baseline: no external program or applet implements this, so compare a change against this figure rather than a ratio.",
pkill,2026-09-12,63cb23df1c3012dde4b07657cc27e4f1e5015b2f,core;device;server;desktop;full,loadables/pkill.c,Build/help,Build/help,True,,,,,pgrep,,n/a,pkill,available,Same-name candidate; only measured arguments are compared.,none,,,,,,,,,unmeasured,,,,,P3,Decide required option scope; see limitations.,Shares pgrep matching and process traversal; validate signals only against owned child fixtures.
pkt,2026-09-12,63cb23df1c3012dde4b07657cc27e4f1e5015b2f,device;server;full,loadables/pkt.c,Contract,Contract,False,tests/network-smoke.py,"Private files, packet/parser fixtures and loopback connections.",,,,,n/a,scapy,missing,Packet encode/decode API; compare fixed packet formats.,self-timed,"1640140 B of length-prefixed frames parsed, 24001 payloads validated (40 hex chars plus space plus refs/ or HEAD, peeled ^{} tags rejected), 20001 lines emitted (1300046 B)",pkt-refs;pkt-sideband,pkt-refs,empty,pkt refs pktrefs,pkt refs pktrefs,10,7,ok,73.685,,,,P4,"Self-timed baseline: no external program or applet implements this, so compare a change against this figure rather than a ratio.",
poweroff,2026-09-12,63cb23df1c3012dde4b07657cc27e4f1e5015b2f,device;server;full,loadables/poweroff.c,Build/help,Build/help,False,,,,,,poweroff,available,poweroff,available,Same-name candidate; only measured arguments are compared.,none,,,,,,,,,unmeasured,,,,,P3,"Add behavioral fixtures, then timing.",
pr,2026-09-12,63cb23df1c3012dde4b07657cc27e4f1e5015b2f,core;device;server;desktop;full,loadables/pr.c,Parity,Parity,True,tests/pr-parity.py;tests/text-tools-parity.sh;tests/input-lifetime.py,"Pagination, columns, file metadata, binary input, repeated redirections and checked output; explicit parity exclusions remain.; Small host-comparison fixtures; this is not complete CLI conformance.; Mixed-reader integration across native and RISC-V musl: fresh redirects, file operands, empty input and descriptor ownership; shared GNU byte cases only.",tests/pr-sanitize.sh,,,,n/a,pr,available,Same-name candidate; only measured arguments are compared.,compared,,pr,pr,text,pr -t,pr -t,77,7,ok,24.161,,367.248,0.0658,P3,Decide required option scope; see limitations.,"Repeated stdin, paging and output failures are fixed for the tested subset. Numbered multi-column control bytes, merged unterminated records and several GNU options remain documented exclusions."
printenv,2026-09-12,63cb23df1c3012dde4b07657cc27e4f1e5015b2f,pure;core;device;server;desktop;full,Bash examples/loadables/printenv.c,Contract,Contract,False,tests/rootfs-smoke.sh,Static binary in an isolated root filesystem; fixture paths only.,,,,,n/a,printenv,available,Same-name candidate; only measured arguments are compared.,compared,,printenv-lcall,printenv-lcall,empty,printenv LC_ALL,printenv LC_ALL,149,7,ok,3.833,,88.99,0.0431,P4,Extend sizes/options; no selected-case performance priority.,
prlimit,2026-09-12,63cb23df1c3012dde4b07657cc27e4f1e5015b2f,device;server;full,loadables/prlimit.c,Smoke,Smoke,False,tests/util-linux-smoke.sh,Selected queries or temporary-file operations; device mutation is not validated.,,,,,n/a,prlimit,available,Same-name candidate; only measured arguments are compared.,compared,,prlimit;prlimit-cpu,prlimit-cpu,empty,prlimit --cpu,"prlimit -o RESOURCE,SOFT,HARD --noheadings --cpu",120,7,ok,3.905,,81.73,0.0478,P4,Extend sizes/options; no selected-case performance priority.,
procstat,2026-09-12,63cb23df1c3012dde4b07657cc27e4f1e5015b2f,device;server;desktop;full,loadables/procstat.c,Contract,Contract,False,tests/procstat-smoke.py,Independent synthetic procfs records and malformed-input cases.,tests/procstat-sanitize.sh,,,,n/a,iostat / mpstat / sar / pidstat / pmap / pldd,adapter,Measure subcommands against fixed procfs data.,self-timed,"scandir with versionsort over 512 fixture pid dirs, then a 52-field stat parse per PID; 513 lines / 17,985 bytes emitted",procstat-pidstat;procstat-pmap,procstat-pidstat,empty,procstat pidstat,procstat pidstat,21,7,ok,69.377,,,,P4,"Self-timed baseline: no external program or applet implements this, so compare a change against this figure rather than a ratio.",
ps,2026-09-12,63cb23df1c3012dde4b07657cc27e4f1e5015b2f,core;device;server;desktop;full,loadables/ps.c,Contract,Contract,False,tests/rootfs-smoke.sh,Static binary in an isolated root filesystem; fixture paths only.,,,,ps,available,ps,available,Same-name candidate; only measured arguments are compared.,self-timed,"512 fixture PIDs walked; 1536 proc files (stat+status+cmdline) parsed; 513 rows / 45,209 bytes emitted",ps-procfixture,ps-procfixture,empty,ps -ef,ps -ef,10,7,ok,77.492,,,,P4,"Self-timed baseline: no external program or applet implements this, so compare a change against this figure rather than a ratio.",
pty,2026-09-12,63cb23df1c3012dde4b07657cc27e4f1e5015b2f,desktop;full,loadables/pty.c,Contract,Contract,False,tests/terminal-smoke.py,"Decoder, state, selftest, private PTY or file fixtures; not all live UI interactions.",tests/terminal-sanitize.sh,,,,n/a,Python pty,adapter,Persistent PTY API; startup and relay are separate operations.,self-timed,"one full pty session per pass: posix_openpt + grantpt + unlockpt + ptsname_r + pipe2 + socketpair gate + double fork, child setsid + open(slave) + TIOCSCTTY + 3x dup2 + run the `true` builtin, then reap and close the master (in the reset)",pty-spawn,pty-spawn,empty,pty spawn F P true,pty spawn F P true,55,7,ok,35.534,,,,P4,"Self-timed baseline: no external program or applet implements this, so compare a change against this figure rather than a ratio.",
ptybroker,2026-09-12,63cb23df1c3012dde4b07657cc27e4f1e5015b2f,desktop;full,loadables/ptybroker.c,Build/help,Build/help,False,,,,,,,n/a,ptybroker,missing,Same-name candidate; only measured arguments are compared.,none,,,,,,,,,unmeasured,,,,,P3,"Add behavioral fixtures, then timing.",
readlink,2026-09-12,63cb23df1c3012dde4b07657cc27e4f1e5015b2f,core;device;server;desktop;full,loadables/readlink.c,Bench checked,Build/help,False,,,,,,readlink,available,readlink,available,Same-name candidate; only measured arguments are compared.,compared,,readlink,readlink,empty,readlink link,readlink link,114,7,ok,4.081,86.58,67.526,0.0604,P4,Extend sizes/options; no selected-case performance priority.,
realpath,2026-09-12,63cb23df1c3012dde4b07657cc27e4f1e5015b2f,pure;core;device;server;desktop;full,Bash examples/loadables/realpath.c,Bench checked,Build/help,False,,,,,,realpath,available,realpath,available,Same-name candidate; only measured arguments are compared.,compared,,realpath,realpath,empty,realpath link,realpath link,139,7,ok,4.497,105.446,86.555,0.052,P4,Extend sizes/options; no selected-case performance priority.,
reboot,2026-09-12,63cb23df1c3012dde4b07657cc27e4f1e5015b2f,device;server;full,loadables/reboot.c,Build/help,Build/help,False,,,,,,reboot,available,reboot,available,Same-name candidate; only measured arguments are compared.,none,,,,,,,,,unmeasured,,,,,P3,"Add behavioral fixtures, then timing.",
renice,2026-09-12,63cb23df1c3012dde4b07657cc27e4f1e5015b2f,device;server;full,loadables/renice.c,Smoke,Smoke,False,tests/util-linux-smoke.sh,Selected queries or temporary-file operations; device mutation is not validated.,,,,renice,available,renice,available,Same-name candidate; only measured arguments are compared.,none,,,,,,,,,unmeasured,,,,,P3,"Add behavioral fixtures, then timing.",
